Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
366,Christopher Nkunku,fr FRA,FW,Chelsea,27-122,1997,24,7,797,8.9,3,2,5,3,0,0,2,0,4.6,4.5,2,6.5,15,24,62,0.34,0.23,0.56,0.34,0.56,0.52,0.23,0.74,0.51,0.74,Matches
367,Matheus Nunes,pt POR,"DF,MF",Manchester City,26-201,1998,19,12,"1,044",11.6,0,4,4,0,0,0,3,0,0.5,0.5,3.3,3.9,43,45,127,0,0.34,0.34,0,0.34,0.05,0.29,0.33,0.05,0.33,Matches
368,Darwin Núñez,uy URU,FW,Liverpool,25-265,1999,23,8,970,10.8,5,2,7,5,0,0,7,0,5,5,1.1,6.1,20,21,64,0.46,0.19,0.65,0.46,0.65,0.46,0.1,0.56,0.46,0.56,Matches
369,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,17-360,2007,18,7,594,6.6,3,1,4,3,0,0,1,0,0.8,0.8,0.8,1.6,34,23,84,0.45,0.15,0.61,0.45,0.61,0.12,0.12,0.24,0.12,0.24,Matches
370,Christian Nørgaard,dk DEN,MF,Brentford,31-006,1994,25,25,"2,010",22.3,4,2,6,4,0,0,4,1,3.1,3.1,0.8,3.9,11,111,32,0.18,0.09,0.27,0.18,0.27,0.14,0.03,0.17,0.14,0.17,Matches
371,Jake O'Brien,ie IRL,DF,Everton,23-305,2001,12,9,851,9.5,2,0,2,2,0,0,3,0,0.6,0.6,0.6,1.1,5,34,23,0.21,0,0.21,0.21,0.21,0.06,0.06,0.12,0.06,0.12,Matches
372,Matt O'Riley,dk DEN,MF,Brighton,24-115,2000,12,5,475,5.3,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4,9,22,25,0.19,0.19,0.38,0.19,0.38,0.23,0.22,0.45,0.23,0.45,Matches
373,Dara O'Shea,ie IRL,DF,Ipswich Town,26-012,1999,26,26,"2,312",25.7,0,1,1,0,0,0,6,0,0.8,0.8,0.1,0.9,3,62,3,0,0.04,0.04,0,0.04,0.03,0,0.03,0.03,0.03,Matches
374,Chidozie Obi-Martin,dk DEN,FW,Manchester Utd,17-107,2007,2,0,22,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Matches
375,Wilson Odobert,fr FRA,FW,Tottenham,20-108,2004,7,4,339,3.8,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.7,24,13,34,0,0,0,0,0,0.18,0.02,0.2,0.18,0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
376,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27-319,1997,5,3,238,2.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,7,0,15,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
377,Caleb Okoli,it ITA,DF,Leicester City,23-246,2001,16,11,"1,003",11.1,0,0,0,0,0,0,3,0,0.1,0.1,0,0.1,3,28,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
378,Robin Olsen,se SWE,GK,Aston Villa,35-067,1990,3,1,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
379,Amadou Onana,be BEL,MF,Aston Villa,23-212,2001,17,14,"1,079",12,2,0,2,2,0,0,4,0,1.8,1.8,0.2,2,13,36,10,0.17,0,0.17,0.17,0.17,0.15,0.02,0.17,0.15,0.17,Matches
380,André Onana,cm CMR,GK,Manchester Utd,28-348,1996,28,28,"2,520",28,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
381,Paul Onuachu,ng NGA,FW,Southampton,30-292,1994,19,8,764,8.5,3,1,4,3,0,0,3,0,2.8,2.8,0.5,3.3,6,11,27,0.35,0.12,0.47,0.35,0.47,0.33,0.06,0.39,0.33,0.39,Matches
382,Frank Onyeka,ng NGA,MF,Brentford,27-074,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
383,Lewis Orford,eng ENG,MF,West Ham,19-026,2006,2,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09,Matches
384,Stefan Ortega,de GER,GK,Manchester City,32-130,1992,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
385,William Osula,dk DEN,FW,Newcastle Utd,21-224,2003,10,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,1,6,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
386,Dango Ouattara,bf BFA,FW,Bournemouth,23-033,2002,26,15,"1,518",16.9,7,4,11,7,0,0,1,0,7.2,7.2,4.5,11.7,58,31,154,0.42,0.24,0.65,0.42,0.65,0.42,0.27,0.69,0.42,0.69,Matches
387,Nico O’Reilly,eng ENG,"MF,DF",Manchester City,19-360,2005,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
388,Alex Palmer,eng ENG,GK,Ipswich Town,28-218,1996,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
389,Cole Palmer,eng ENG,MF,Chelsea,22-314,2002,28,28,"2,441",27.1,14,6,20,11,3,4,4,0,15.2,12.1,8.6,20.7,85,157,141,0.52,0.22,0.74,0.41,0.63,0.56,0.32,0.88,0.45,0.76,Matches
390,Emerson Palmieri,it ITA,DF,West Ham,30-225,1994,25,23,"1,792",19.9,2,1,3,2,0,0,5,0,1.6,1.6,1.5,3.1,36,53,69,0.1,0.05,0.15,0.1,0.15,0.08,0.07,0.15,0.08,0.15,Matches
391,Lucas Paquetá,br BRA,"MF,FW",West Ham,27-201,1997,25,21,"1,807",20.1,4,0,4,2,2,2,7,0,5,3.4,2.1,5.5,16,97,66,0.2,0,0.2,0.1,0.1,0.25,0.1,0.35,0.17,0.27,Matches
392,Thomas Partey,gh GHA,"MF,DF",Arsenal,31-276,1993,27,23,"2,099",23.3,3,2,5,3,0,0,3,0,1.7,1.7,1.9,3.6,28,147,34,0.13,0.09,0.21,0.13,0.21,0.07,0.08,0.16,0.07,0.16,Matches
393,Nathan Patterson,sct SCO,"DF,FW",Everton,23-151,2001,7,0,129,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,7,7,0,0,0,0,0,0.05,0.24,0.29,0.05,0.29,Matches
394,Andreas Pereira,br BRA,MF,Fulham,29-074,1996,25,18,"1,487",16.5,2,3,5,2,0,1,7,0,3.1,2.4,3.5,5.9,17,89,61,0.12,0.18,0.3,0.12,0.3,0.19,0.21,0.4,0.14,0.36,Matches
395,Ricardo Pereira,pt POR,DF,Leicester City,31-161,1993,3,2,153,1.7,0,0,0,0,0,0,1,0,0,0,0,0,1,7,3,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
396,Kalvin Phillips,eng ENG,MF,Ipswich Town,29-104,1995,17,14,"1,205",13.4,0,0,0,0,0,0,6,1,0.4,0.4,0.2,0.6,4,49,4,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
397,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,23-036,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0,0,0,0,0,0.13,0.08,0.2,0.13,0.2,Matches
398,Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,23-036,2002,7,5,458,5.1,2,0,2,2,0,0,0,0,1.9,1.9,0.2,2.1,13,10,34,0.39,0,0.39,0.39,0.39,0.37,0.05,0.42,0.37,0.42,Matches
399,Jordan Pickford,eng ENG,GK,Everton,31-009,1994,29,29,"2,610",29,0,1,1,0,0,0,6,0,0,0,0.4,0.4,0,0,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01,Matches
400,Ethan Pinnock,jm JAM,DF,Brentford,31-291,1993,21,20,"1,831",20.3,2,0,2,2,0,0,2,0,0.9,0.9,1.2,2,3,40,9,0.1,0,0.1,0.1,0.1,0.04,0.06,0.1,0.04,0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
401,Daniel Podence,pt POR,"MF,FW",Wolves,29-146,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
402,Alfie Pond,eng ENG,DF,Wolves,21-015,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
403,Nick Pope,eng ENG,GK,Newcastle Utd,32-331,1992,18,18,"1,620",18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
404,Pedro Porro,es ESP,DF,Tottenham,25-184,1999,28,24,"2,280",25.3,2,5,7,2,0,0,2,0,1.5,1.5,3.2,4.7,57,128,93,0.08,0.2,0.28,0.08,0.28,0.06,0.13,0.18,0.06,0.18,Matches
405,Jarell Quansah,eng ENG,DF,Liverpool,22-046,2003,10,2,292,3.2,0,0,0,0,0,0,1,0,0,0,0,0,2,10,3,0,0,0,0,0,0,0,0,0,0,Matches
406,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,23-154,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
407,Aaron Ramsdale,eng ENG,GK,Southampton,26-306,1998,21,21,"1,890",21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
408,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-292,2001,21,15,"1,248",13.9,1,3,4,1,0,0,1,0,1.3,1.3,1.8,3.1,49,58,84,0.07,0.22,0.29,0.07,0.29,0.09,0.13,0.22,0.09,0.22,Matches
409,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-136,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Matches
410,Marcus Rashford,eng ENG,FW,Aston Villa,27-136,1997,5,1,202,2.2,0,2,2,0,0,0,0,0,0.3,0.3,1.9,2.1,13,10,32,0,0.89,0.89,0,0.89,0.12,0.83,0.95,0.12,0.95,Matches
411,David Raya,es ESP,GK,Arsenal,29-182,1995,28,28,"2,520",28,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,Matches
412,Harrison Reed,eng ENG,MF,Fulham,30-048,1995,10,0,78,0.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,4,7,0,0,0,0,0,0.17,0.09,0.25,0.17,0.25,Matches
413,Remy Rees-Dottin,eng ENG,FW,Bournemouth,19-010,2006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
414,Sergio Reguilón,es ESP,DF,Tottenham,28-090,1996,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,4,12,10,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,Matches
415,Bobby Reid,jm JAM,"FW,MF",Leicester City,32-042,1993,20,7,639,7.1,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2,12,14,40,0.14,0.28,0.42,0.14,0.42,0.11,0.17,0.27,0.11,0.27,Matches
416,Chadi Riad,ma MAR,DF,Crystal Palace,21-272,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,Matches
417,Declan Rice,eng ENG,MF,Arsenal,26-061,1999,26,24,"2,066",23,2,5,7,2,0,0,5,1,1.8,1.8,5.5,7.4,74,149,72,0.09,0.22,0.3,0.09,0.3,0.08,0.24,0.32,0.08,0.32,Matches
418,Chris Richards,us USA,DF,Crystal Palace,24-353,2000,17,15,"1,338",14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,5,33,1,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches
419,Richarlison,br BRA,FW,Tottenham,27-310,1997,9,2,279,3.1,2,1,3,2,0,0,1,0,1.2,1.2,0.9,2.1,8,10,17,0.65,0.32,0.97,0.65,0.97,0.38,0.29,0.67,0.38,0.67,Matches
420,Andrew Robertson,sct SCO,DF,Liverpool,31-005,1994,27,24,"2,016",22.4,0,0,0,0,0,0,3,1,0.8,0.8,4,4.9,54,146,81,0,0,0,0,0,0.04,0.18,0.22,0.04,0.22,Matches
421,Antonee Robinson,us USA,DF,Fulham,27-220,1997,28,27,"2,449",27.2,0,10,10,0,0,0,7,0,0.7,0.7,3.8,4.5,94,97,219,0,0.37,0.37,0,0.37,0.03,0.14,0.16,0.03,0.16,Matches
422,Rodri,es ESP,MF,Manchester City,28-267,1996,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
423,Guido Rodríguez,ar ARG,MF,West Ham,30-338,1994,20,14,"1,018",11.3,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,2,31,5,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
424,Mads Roerslev,dk DEN,DF,Brentford,25-265,1999,19,11,"1,101",12.2,0,2,2,0,0,0,2,0,0.2,0.2,3,3.2,17,51,54,0,0.16,0.16,0,0.16,0.02,0.24,0.26,0.02,0.26,Matches
425,Morgan Rogers,eng ENG,"MF,FW",Aston Villa,22-233,2002,28,28,"2,336",26,7,4,11,7,0,0,8,0,4.8,4.8,5.2,10.1,91,94,137,0.27,0.15,0.42,0.27,0.42,0.19,0.2,0.39,0.19,0.39,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
426,Cristian Romero,ar ARG,DF,Tottenham,26-323,1998,13,13,"1,034",11.5,1,0,1,1,0,0,1,0,1.1,1.1,0.5,1.7,10,53,2,0.09,0,0.09,0.09,0.09,0.1,0.05,0.14,0.1,0.14,Matches
427,Georginio Rutter,fr FRA,"MF,FW",Brighton,22-330,2002,28,19,"1,656",18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,42,67,79,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,Matches
428,José Sá,pt POR,GK,Wolves,32-058,1993,22,22,"1,980",22,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,2,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
429,Bukayo Saka,eng ENG,"FW,MF",Arsenal,23-192,2001,16,16,"1,268",14.1,5,10,15,4,1,1,3,0,4.2,3.4,5.8,9.2,72,53,195,0.35,0.71,1.06,0.28,0.99,0.3,0.41,0.71,0.24,0.65,Matches
430,Mohamed Salah,eg EGY,FW,Liverpool,32-274,1992,29,29,"2,568",28.5,27,17,44,18,9,9,1,0,22,15,11.2,26.2,122,110,364,0.95,0.6,1.54,0.63,1.23,0.77,0.39,1.16,0.52,0.92,Matches
431,William Saliba,fr FRA,DF,Arsenal,23-357,2001,26,26,"2,274",25.3,2,0,2,2,0,0,2,1,2.1,2.1,0.5,2.6,13,107,6,0.08,0,0.08,0.08,0.08,0.08,0.02,0.1,0.08,0.1,Matches
432,Robert Sánchez,es ESP,GK,Chelsea,27-118,1997,22,22,"1,980",22,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
433,Jadon Sancho,eng ENG,FW,Chelsea,24-356,2000,22,15,"1,355",15.1,2,4,6,2,0,0,1,0,1.6,1.6,3.2,4.8,83,69,173,0.13,0.27,0.4,0.13,0.4,0.11,0.21,0.32,0.11,0.32,Matches
434,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,27-104,1997,7,3,274,3,0,1,1,0,0,0,2,0,0,0,0.3,0.3,0,11,2,0,0.33,0.33,0,0.33,0.01,0.1,0.11,0.01,0.11,Matches
435,Pablo Sarabia,es ESP,"MF,FW",Wolves,32-309,1992,15,6,564,6.3,1,1,2,1,0,0,2,0,2.5,2.5,0.7,3.2,11,46,45,0.16,0.16,0.32,0.16,0.32,0.4,0.11,0.51,0.4,0.51,Matches
436,Jeremy Sarmiento,ec ECU,MF,Brighton,22-273,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
437,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,27-019,1998,28,21,"1,930",21.4,7,3,10,7,0,0,3,0,7.8,7.8,5.7,13.5,52,61,140,0.33,0.14,0.47,0.33,0.47,0.36,0.27,0.63,0.36,0.63,Matches
438,Sávio,br BRA,"FW,MF",Manchester City,20-340,2004,24,19,"1,564",17.4,1,7,8,1,0,0,3,0,4.6,4.6,5.7,10.3,125,62,214,0.06,0.4,0.46,0.06,0.46,0.27,0.33,0.6,0.27,0.6,Matches
439,Oliver Scarles,eng ENG,DF,West Ham,19-094,2005,10,3,406,4.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,6,15,33,0,0,0,0,0,0.02,0,0.03,0.02,0.03,Matches
440,Dane Scarlett,eng ENG,FW,Tottenham,20-357,2004,2,0,29,0.3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3.1,3.1,0,3.1,0,0.14,0.14,0,0.14,Matches
441,Kevin Schade,de GER,FW,Brentford,23-109,2001,29,17,"1,575",17.5,7,2,9,7,0,0,2,0,5.8,5.8,2.7,8.4,43,30,118,0.4,0.11,0.51,0.4,0.51,0.33,0.15,0.48,0.33,0.48,Matches
442,Fabian Schär,ch SUI,DF,Newcastle Utd,33-086,1991,24,23,"2,052",22.8,2,0,2,2,0,0,5,1,1.6,1.6,0.3,1.9,12,74,16,0.09,0,0.09,0.09,0.09,0.07,0.01,0.08,0.07,0.08,Matches
443,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,32-083,1992,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matches
444,Alex Scott,eng ENG,MF,Bournemouth,21-207,2003,12,2,380,4.2,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,8,42,17,0,0,0,0,0,0.06,0.07,0.13,0.06,0.13,Matches
445,Matz Sels,be BEL,GK,Nott'ham Forest,33-018,1992,29,29,"2,610",29,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
446,Nélson Semedo,pt POR,DF,Wolves,31-120,1993,25,24,"2,145",23.8,0,4,4,0,0,0,7,0,0.6,0.6,2.6,3.2,52,54,93,0,0.17,0.17,0,0.17,0.03,0.11,0.13,0.03,0.13,Matches
447,Antoine Semenyo,gh GHA,FW,Bournemouth,25-068,2000,28,28,"2,465",27.4,7,4,11,7,0,0,9,0,8.6,8.6,5.1,13.7,112,86,224,0.26,0.15,0.4,0.26,0.4,0.31,0.19,0.5,0.31,0.5,Matches
448,Marcos Senesi,ar ARG,DF,Bournemouth,27-310,1997,11,11,917,10.2,0,0,0,0,0,0,4,0,0.8,0.8,0.2,1,11,45,3,0,0,0,0,0,0.08,0.02,0.1,0.08,0.1,Matches
449,Ryan Sessegnon,eng ENG,"DF,MF",Fulham,24-302,2000,6,1,92,1,1,0,1,1,0,0,0,0,0.4,0.4,0.3,0.7,2,2,6,0.98,0,0.98,0.98,0.98,0.4,0.29,0.69,0.4,0.69,Matches
450,Luke Shaw,eng ENG,DF,Manchester Utd,29-247,1995,2,0,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
451,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,19-250,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
452,Bernardo Silva,pt POR,"MF,FW",Manchester City,30-218,1994,26,22,"2,041",22.7,2,4,6,2,0,0,5,0,3,3,4.2,7.2,82,97,169,0.09,0.18,0.26,0.09,0.26,0.13,0.18,0.32,0.13,0.32,Matches
453,Jota Silva,pt POR,"FW,MF",Nott'ham Forest,25-227,1999,25,4,725,8.1,2,1,3,2,0,0,4,0,1.5,1.5,2.8,4.3,17,14,47,0.25,0.12,0.37,0.25,0.37,0.19,0.35,0.54,0.19,0.54,Matches
454,Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,18-317,2006,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
455,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,19-132,2005,2,1,96,1.1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,Matches
456,Luis Sinisterra,co COL,"FW,MF",Bournemouth,25-272,1999,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1,0.46,1,Matches
457,Oliver Skipp,eng ENG,MF,Leicester City,24-181,2000,16,7,779,8.7,0,0,0,0,0,0,4,0,0.1,0.1,0.2,0.3,14,23,14,0,0,0,0,0,0.01,0.02,0.04,0.01,0.04,Matches
458,William Smallbone,ie IRL,MF,Southampton,25-023,2000,12,6,555,6.2,1,0,1,1,0,0,1,0,0.4,0.4,0.6,1,4,22,18,0.16,0,0.16,0.16,0.16,0.06,0.1,0.17,0.06,0.17,Matches
