Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
459,Adam Smith,eng ENG,DF,Bournemouth,33-321,1991,17,12,"1,035",11.5,0,0,0,0,0,0,4,0,0.6,0.6,0.1,0.7,7,31,16,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,Matches
460,Emile Smith Rowe,eng ENG,MF,Fulham,24-231,2000,25,21,"1,653",18.4,5,2,7,5,0,0,1,0,4.1,4.1,1.1,5.2,50,104,96,0.27,0.11,0.38,0.27,0.38,0.22,0.06,0.28,0.22,0.28,Matches
461,Dominic Solanke,eng ENG,FW,Tottenham,27-183,1997,19,19,"1,688",18.8,7,3,10,7,0,0,0,0,8.6,8.6,2.8,11.4,27,38,74,0.37,0.16,0.53,0.37,0.53,0.46,0.15,0.61,0.46,0.61,Matches
462,Carlos Soler,es ESP,"MF,FW",West Ham,28-073,1997,24,12,"1,098",12.2,1,1,2,1,0,0,5,0,1.2,1.2,1.1,2.3,12,45,21,0.08,0.08,0.16,0.08,0.16,0.1,0.09,0.19,0.1,0.19,Matches
463,Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,25-197,1999,14,1,241,2.7,1,0,1,1,0,0,1,0,0.9,0.9,0.4,1.4,10,4,14,0.37,0,0.37,0.37,0.37,0.35,0.15,0.51,0.35,0.51,Matches
464,Tomáš Souček,cz CZE,MF,West Ham,30-017,1995,27,24,"2,083",23.1,7,1,8,7,0,0,8,0,4.9,4.9,1,5.9,6,65,55,0.3,0.04,0.35,0.3,0.35,0.21,0.04,0.25,0.21,0.25,Matches
465,Boubakary Soumaré,fr FRA,MF,Leicester City,26-017,1999,21,17,"1,500",16.7,0,0,0,0,0,0,8,0,0.2,0.2,0.3,0.5,26,71,20,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches
466,Djed Spence,eng ENG,DF,Tottenham,24-219,2000,15,10,974,10.8,1,1,2,1,0,0,3,1,0.3,0.3,1.5,1.7,35,57,46,0.09,0.09,0.18,0.09,0.18,0.02,0.14,0.16,0.02,0.16,Matches
467,Jay Stansfield,eng ENG,MF,Fulham,22-112,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
468,Jason Steele,eng ENG,GK,Brighton,34-210,1990,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
469,Jack Stephens,eng ENG,DF,Southampton,31-048,1994,12,10,804,8.9,0,0,0,0,0,0,2,2,0.3,0.3,0.1,0.4,11,43,1,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
470,Raheem Sterling,eng ENG,"FW,MF",Arsenal,30-098,1994,12,4,310,3.4,0,1,1,0,0,0,1,0,1,1,0.3,1.3,18,14,57,0,0.29,0.29,0,0.29,0.3,0.08,0.38,0.3,0.38,Matches
471,Ross Stewart,sct SCO,"FW,MF",Southampton,28-248,1996,4,1,132,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,1,5,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
472,Jakub Stolarczyk,pl POL,GK,Leicester City,24-087,2000,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
473,John Stones,eng ENG,"DF,MF",Manchester City,30-292,1994,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,Matches
474,Jørgen Strand Larsen,no NOR,FW,Wolves,25-038,2000,27,24,"2,066",23,9,2,11,9,0,0,3,0,6.6,6.6,1.7,8.2,11,22,79,0.39,0.09,0.48,0.39,0.48,0.29,0.07,0.36,0.29,0.36,Matches
475,Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24-261,2000,26,15,"1,439",16,1,1,2,1,0,0,4,0,0.4,0.4,2.2,2.7,30,67,72,0.06,0.06,0.13,0.06,0.13,0.03,0.14,0.17,0.03,0.17,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
476,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,23-029,2002,17,8,742,8.2,1,0,1,1,0,0,0,0,0.9,0.9,0.4,1.2,34,12,56,0.12,0,0.12,0.12,0.12,0.11,0.04,0.15,0.11,0.15,Matches
477,Crysencio Summerville,nl NED,"FW,MF",West Ham,23-137,2001,19,7,786,8.7,1,1,2,1,0,0,2,0,1.6,1.6,1.7,3.3,29,18,71,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,Matches
478,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29-173,1995,19,13,979,10.9,4,0,4,4,0,0,2,0,3.4,3.4,0.2,3.6,16,18,46,0.37,0,0.37,0.37,0.37,0.31,0.02,0.33,0.31,0.33,Matches
479,Dominik Szoboszlai,hu HUN,MF,Liverpool,24-142,2000,27,22,"1,953",21.7,5,3,8,5,0,0,6,0,6.7,6.7,5,11.7,61,101,108,0.23,0.14,0.37,0.23,0.37,0.31,0.23,0.54,0.31,0.54,Matches
480,Matt Targett,eng ENG,DF,Newcastle Utd,29-179,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
481,James Tarkowski,eng ENG,DF,Everton,32-117,1992,29,29,"2,601",28.9,1,1,2,1,0,0,4,0,1.1,1.1,2.2,3.3,8,69,3,0.03,0.03,0.07,0.03,0.07,0.04,0.08,0.12,0.04,0.12,Matches
482,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,25-359,1999,22,16,"1,505",16.7,3,5,8,3,0,0,5,0,5.2,5.2,2.8,8,36,95,101,0.18,0.3,0.48,0.18,0.48,0.31,0.17,0.48,0.31,0.48,Matches
483,Charlie Taylor,eng ENG,DF,Southampton,31-179,1993,7,2,266,3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,8,6,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
484,Jack Taylor,ie IRL,MF,Ipswich Town,26-266,1998,23,1,495,5.5,1,0,1,1,0,0,3,0,0.6,0.6,0.5,1.1,9,36,14,0.18,0,0.18,0.18,0.18,0.1,0.1,0.2,0.1,0.2,Matches
485,Mathys Tel,fr FRA,FW,Tottenham,19-323,2005,3,3,229,2.5,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.8,3,1,8,0,0,0,0,0,0.3,0.02,0.32,0.3,0.32,Matches
486,Kenny Tete,nl NED,DF,Fulham,29-158,1995,15,15,"1,262",14,0,2,2,0,0,0,3,0,1,1,0.7,1.8,33,42,39,0,0.14,0.14,0,0.14,0.07,0.05,0.13,0.07,0.13,Matches
487,Thiago,br BRA,FW,Brentford,23-263,2001,4,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,4,0,0,0,0,0,0.07,0.05,0.11,0.07,0.11,Matches
488,Luke Thomas,eng ENG,DF,Leicester City,23-279,2001,4,3,273,3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,10,6,0,0,0,0,0,0.01,0.02,0.02,0.01,0.02,Matches
489,Youri Tielemans,be BEL,MF,Aston Villa,27-313,1997,29,29,"2,491",27.7,2,4,6,2,0,1,4,0,2.6,1.8,5.7,7.5,30,187,35,0.07,0.14,0.22,0.07,0.22,0.09,0.21,0.3,0.07,0.27,Matches
490,Kieran Tierney,sct SCO,"DF,FW",Arsenal,27-284,1997,5,0,80,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,2,3,8,0,0,0,0,0,0.23,0.55,0.78,0.23,0.78,Matches
491,Jurriën Timber,nl NED,DF,Arsenal,23-272,2001,25,24,"2,109",23.4,1,2,3,1,0,0,7,0,0.7,0.7,0.8,1.5,48,126,92,0.04,0.09,0.13,0.04,0.13,0.03,0.03,0.06,0.03,0.06,Matches
492,Jean-Clair Todibo,fr FRA,DF,West Ham,25-076,1999,19,12,"1,145",12.7,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,6,24,4,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
493,Harry Toffolo,eng ENG,DF,Nott'ham Forest,29-209,1995,3,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
494,Takehiro Tomiyasu,jp JPN,DF,Arsenal,26-131,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0,0,0,0,0,0,2.37,0,2.37,2.37,2.37,Matches
495,Sandro Tonali,it ITA,MF,Newcastle Utd,24-312,2000,26,18,"1,730",19.2,1,1,2,1,0,0,5,0,3.1,3.1,0.6,3.7,28,79,35,0.05,0.05,0.1,0.05,0.1,0.16,0.03,0.19,0.16,0.19,Matches
496,Pau Torres,es ESP,DF,Aston Villa,28-059,1997,18,18,"1,549",17.2,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,31,70,4,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
497,Conor Townsend,eng ENG,DF,Ipswich Town,32-012,1993,3,1,136,1.5,0,0,0,0,0,0,0,0,0,0,0.4,0.4,1,2,4,0,0,0,0,0,0,0.25,0.25,0,0.25,Matches
498,Adama Traoré,es ESP,"FW,MF",Fulham,29-050,1996,26,15,"1,379",15.3,2,5,7,2,0,0,2,0,3.7,3.7,4.1,7.8,78,53,133,0.13,0.33,0.46,0.13,0.46,0.24,0.27,0.51,0.24,0.51,Matches
499,Mark Travers,ie IRL,GK,Bournemouth,25-302,1999,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
500,Ryan Trevitt,eng ENG,MF,Brentford,22-004,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
501,Kieran Trippier,eng ENG,DF,Newcastle Utd,34-178,1990,17,7,698,7.8,0,0,0,0,0,0,1,0,0,0,0.5,0.6,15,48,29,0,0,0,0,0,0.01,0.07,0.07,0.01,0.07,Matches
502,Leandro Trossard,be BEL,FW,Arsenal,30-102,1994,28,20,"1,807",20.1,4,5,9,4,0,0,4,1,4.9,4.9,5,9.9,61,78,165,0.2,0.25,0.45,0.2,0.45,0.24,0.25,0.49,0.24,0.49,Matches
503,Kostas Tsimikas,gr GRE,DF,Liverpool,28-308,1996,14,5,517,5.7,0,1,1,0,0,0,2,0,0.1,0.1,1,1.1,13,53,25,0,0.17,0.17,0,0.17,0.02,0.18,0.2,0.02,0.2,Matches
504,Axel Tuanzebe,cd COD,DF,Ipswich Town,27-122,1997,14,13,"1,095",12.2,0,1,1,0,0,0,5,1,0.2,0.2,0.3,0.5,7,39,7,0,0.08,0.08,0,0.08,0.02,0.02,0.04,0.02,0.04,Matches
505,Destiny Udogie,it ITA,DF,Tottenham,22-108,2002,21,20,"1,564",17.4,0,1,1,0,0,0,2,0,0.3,0.3,1.3,1.6,44,107,82,0,0.06,0.06,0,0.06,0.02,0.07,0.09,0.02,0.09,Matches
506,Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,23-339,2001,20,15,"1,259",14,1,0,1,1,0,0,8,0,0.4,0.4,0.6,1,9,43,14,0.07,0,0.07,0.07,0.07,0.03,0.04,0.07,0.03,0.07,Matches
507,Lesley Ugochukwu,fr FRA,MF,Southampton,20-355,2004,18,10,"1,025",11.4,0,1,1,0,0,0,4,0,0.4,0.4,0.8,1.1,21,42,16,0,0.09,0.09,0,0.09,0.03,0.07,0.1,0.03,0.1,Matches
508,Enes Ünal,tr TUR,"FW,MF",Bournemouth,27-310,1997,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.1,0.82,0.72,0.82,Matches
509,Virgil van Dijk,nl NED,DF,Liverpool,33-251,1991,29,29,"2,610",29,1,1,2,1,0,0,3,0,1.6,1.6,0.5,2,15,131,5,0.03,0.03,0.07,0.03,0.07,0.05,0.02,0.07,0.05,0.07,Matches
510,Jamie Vardy,eng ENG,FW,Leicester City,38-064,1987,26,26,"2,136",23.7,7,3,10,6,1,1,4,0,8.8,8,2.5,10.5,25,17,89,0.29,0.13,0.42,0.25,0.38,0.37,0.1,0.47,0.34,0.44,Matches
511,Renato Veiga,pt POR,"DF,MF",Chelsea,21-230,2003,7,1,181,2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,4,7,3,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
512,Joël Veltman,nl NED,DF,Brighton,33-060,1992,19,19,"1,643",18.3,0,0,0,0,0,0,4,0,0.5,0.5,0.5,0.9,29,79,32,0,0,0,0,0,0.03,0.03,0.05,0.03,0.05,Matches
513,Micky van de Ven,nl NED,DF,Tottenham,23-331,2001,10,9,818,9.1,0,2,2,0,0,0,4,0,0.4,0.4,1.2,1.5,8,44,1,0,0.22,0.22,0,0.22,0.04,0.13,0.17,0.04,0.17,Matches
514,Bart Verbruggen,nl NED,GK,Brighton,22-210,2002,27,27,"2,430",27,0,1,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0.04,0.04,0,0.04,0,0,0,0,0,Matches
515,Jannik Vestergaard,dk DEN,DF,Leicester City,32-225,1992,18,16,"1,391",15.5,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,3,32,2,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,Matches
516,Guglielmo Vicario,it ITA,GK,Tottenham,28-160,1996,16,16,"1,440",16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
517,Carlos Vinícius,br BRA,MF,Fulham,29-356,1995,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.83,0,0.83,0.83,0.83,Matches
518,Kyle Walker,eng ENG,DF,Manchester City,34-292,1990,15,9,970,10.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,12,64,11,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches
519,Kyle Walker-Peters,eng ENG,DF,Southampton,27-337,1997,27,27,"2,378",26.4,0,2,2,0,0,0,5,0,0.5,0.5,2.6,3,97,114,114,0,0.08,0.08,0,0.08,0.02,0.1,0.12,0.02,0.12,Matches
520,Christian Walton,eng ENG,GK,Ipswich Town,29-127,1995,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
521,Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-110,1997,28,27,"2,434",27,2,2,4,2,0,0,1,0,1,1,2.3,3.4,88,108,118,0.07,0.07,0.15,0.07,0.15,0.04,0.09,0.12,0.04,0.12,Matches
522,Danny Ward,wls WAL,GK,Leicester City,31-267,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
523,James Ward-Prowse,eng ENG,MF,West Ham,30-135,1994,6,4,416,4.6,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,4,22,2,0,0,0,0,0,0.07,0.09,0.16,0.07,0.16,Matches
524,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,30-135,1994,9,5,400,4.4,0,1,1,0,0,0,2,1,0.1,0.1,1.1,1.2,1,16,3,0,0.23,0.23,0,0.23,0.01,0.25,0.26,0.01,0.26,Matches
525,Ollie Watkins,eng ENG,FW,Aston Villa,29-076,1995,29,25,"2,055",22.8,13,6,19,11,2,2,0,0,13.9,12.3,2.7,14.9,44,22,128,0.57,0.26,0.83,0.48,0.74,0.61,0.12,0.72,0.54,0.65,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
526,Adam Webster,eng ENG,DF,Brighton,30-071,1995,11,8,617,6.9,0,0,0,0,0,0,0,0,0,0,0.5,0.5,7,40,2,0,0,0,0,0,0,0.07,0.08,0,0.08,Matches
527,Danny Welbeck,eng ENG,FW,Brighton,34-110,1990,22,17,"1,487",16.5,7,4,11,7,0,0,2,0,6.7,6.7,1,7.7,17,34,59,0.42,0.24,0.67,0.42,0.67,0.4,0.06,0.46,0.4,0.46,Matches
528,Welington,br BRA,"DF,MF",Southampton,24-025,2001,4,3,172,1.9,0,0,0,0,0,0,1,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
529,Timo Werner,de GER,"FW,MF",Tottenham,29-010,1996,18,4,516,5.7,0,3,3,0,0,0,0,0,1,1,2.5,3.5,42,30,89,0,0.52,0.52,0,0.52,0.17,0.44,0.61,0.17,0.61,Matches
530,Adam Wharton,eng ENG,MF,Crystal Palace,20-287,2004,13,10,843,9.4,0,0,0,0,0,0,1,0,0.3,0.3,2,2.2,9,88,10,0,0,0,0,0,0.03,0.21,0.24,0.03,0.24,Matches
531,Ben White,eng ENG,DF,Arsenal,27-159,1997,11,7,706,7.8,0,1,1,0,0,0,2,0,0.2,0.2,0.4,0.6,5,32,18,0,0.13,0.13,0,0.13,0.02,0.06,0.08,0.02,0.08,Matches
532,Mats Wieffer,nl NED,MF,Brighton,25-120,1999,17,4,494,5.5,1,1,2,1,0,0,4,0,0.5,0.5,0.6,1.1,5,37,9,0.18,0.18,0.36,0.18,0.36,0.08,0.11,0.19,0.08,0.19,Matches
533,Neco Williams,wls WAL,DF,Nott'ham Forest,23-337,2001,26,19,"1,784",19.8,1,1,2,1,0,0,4,0,1.8,1.8,1,2.8,45,57,65,0.05,0.05,0.1,0.05,0.1,0.09,0.05,0.14,0.09,0.14,Matches
534,Willian,br BRA,MF,Fulham,36-219,1988,4,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0.3,3,6,5,0,0,0,0,0,0.08,0.46,0.54,0.08,0.54,Matches
535,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-208,1999,25,9,818,9.1,0,2,2,0,0,0,2,0,0.9,0.9,1.6,2.5,28,34,67,0,0.22,0.22,0,0.22,0.09,0.18,0.27,0.09,0.27,Matches
536,Callum Wilson,eng ENG,"FW,MF",Newcastle Utd,33-017,1992,8,1,163,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,3,2,4,0,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
537,Harry Wilson,wls WAL,"FW,MF",Fulham,27-359,1997,19,8,839,9.3,5,1,6,5,0,0,2,0,3.2,3.2,1,4.2,16,42,71,0.54,0.11,0.64,0.54,0.64,0.35,0.11,0.45,0.35,0.45,Matches
538,Harry Winks,eng ENG,MF,Leicester City,29-042,1996,21,17,"1,511",16.8,0,2,2,0,0,0,4,0,0.2,0.2,1.2,1.4,19,98,11,0,0.12,0.12,0,0.12,0.01,0.07,0.08,0.01,0.08,Matches
539,Ben Winterburn,eng ENG,MF,Bournemouth,20-193,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
540,Yoane Wissa,cd COD,FW,Brentford,28-194,1996,26,25,"2,110",23.4,14,2,16,14,0,0,2,0,13.6,13.6,1.6,15.1,41,49,117,0.6,0.09,0.68,0.6,0.68,0.58,0.07,0.64,0.58,0.64,Matches
541,Chris Wood,nz NZL,FW,Nott'ham Forest,33-099,1991,29,28,"2,344",26,18,3,21,15,3,3,1,0,11,8.7,1.9,10.6,13,33,72,0.69,0.12,0.81,0.58,0.69,0.42,0.07,0.5,0.33,0.41,Matches
542,Nathan Wood-Gordon,eng ENG,DF,Southampton,22-289,2002,9,7,624,6.9,0,0,0,0,0,0,2,0,0.2,0.2,0,0.3,2,17,0,0,0,0,0,0,0.03,0,0.04,0.03,0.04,Matches
543,Luke Woolfenden,eng ENG,DF,Ipswich Town,26-146,1998,13,10,"1,007",11.2,0,0,0,0,0,0,2,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,Matches
544,Yehor Yarmoliuk,ua UKR,MF,Brentford,21-015,2004,22,7,795,8.8,0,0,0,0,0,0,3,0,0.6,0.6,0.3,0.9,12,36,37,0,0,0,0,0,0.07,0.03,0.1,0.07,0.1,Matches
545,Ryan Yates,eng ENG,MF,Nott'ham Forest,27-115,1997,26,15,"1,546",17.2,2,0,2,2,0,0,8,0,2.2,2.2,0.9,3.1,15,40,12,0.12,0,0.12,0.12,0.12,0.13,0.05,0.18,0.13,0.18,Matches
546,Leny Yoro,fr FRA,DF,Manchester Utd,19-123,2005,14,7,700,7.8,0,0,0,0,0,0,3,0,0.7,0.7,0,0.7,7,31,3,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches
547,Ashley Young,eng ENG,"DF,FW",Everton,39-250,1985,25,17,"1,557",17.3,1,3,4,1,0,0,6,1,0.3,0.3,1.6,1.8,19,81,25,0.06,0.17,0.23,0.06,0.23,0.02,0.09,0.11,0.02,0.11,Matches
548,Illia Zabarnyi,ua UKR,DF,Bournemouth,22-196,2002,27,27,"2,364",26.3,0,0,0,0,0,0,3,1,0.8,0.8,0.5,1.3,18,94,3,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
549,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-091,1996,10,2,299,3.3,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,7,21,7,0,0,0,0,0,0.05,0.01,0.05,0.05,0.05,Matches
550,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-298,2001,28,12,"1,229",13.7,3,1,4,3,0,0,2,0,4.5,4.5,1.5,6,11,36,64,0.22,0.07,0.29,0.22,0.29,0.33,0.11,0.44,0.33,0.44,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,P,,,,,,,,,,,,